Product,Forecast_Next_Month,RMSE,Safety_Stock_95,Order_Up_To_Level_95,Safety_Stock_99,Order_Up_To_Level_99
Starbucks Doubleshot Energy - Coffee,1.0,3.3531462610944662,8.0,9.0,8.0,9.0
Doritos Dinamita Chile Lemon,4.0,4.032298876930208,10.0,14.0,10.0,14.0
Pringles - Original,,,,,,
Ice Breakers Ice Cubes - PepperMint,3.0,2.1343201254991655,5.0,8.0,5.0,8.0
Popchips Potato - Barbeque,2.0,3.5513655611221044,9.0,11.0,9.0,11.0
Snyder's of Hanover Pretzel Pieces - Cheddar,,,,,,
Snyder's of Hanover Pretzel - Cheddar Cheese,7.0,1.7264877256828637,5.0,12.0,5.0,12.0
Jack Links Beef Steak Original,3.0,3.1266868263026435,8.0,11.0,8.0,11.0
Simply Protein - Peanut Butter Chocolate,,,,,,
Red Bull - Energy Drink - Sugar Free,4.0,3.5074007183731037,9.0,13.0,9.0,13.0
Pop Corners - Sweet & Salty Kettle,3.0,3.2965364593362967,8.0,11.0,8.0,11.0
Teddy Grahams - Go Paks,,,,,,
Ruffles Baked  - Cheddar & Sour Cream,4.0,2.951734208130881,7.0,11.0,7.0,11.0
Autumns Granola Bar - Cinnamon Almond,3.0,2.1245936606239377,5.0,8.0,5.0,8.0
Pure Organic Fruit Bar - Strawberry Banana,2.0,2.1633551174708785,6.0,8.0,6.0,8.0
Bai Antioxidant - Zambia Bingcherry,5.0,1.6164618206614045,4.0,9.0,4.0,9.0
Vitamin Water - XXX Acai BB Pomegranate,4.0,2.7853831759340255,7.0,11.0,7.0,11.0
Munchies Snack mix Flaming Hot,2.0,2.710794837035493,7.0,9.0,7.0,9.0
Simply Protein - Dark Chocolate Sea Salt,,,,,,
Skinny Pop Popcorn,,,,,,
S. Pellegrino Essenza Mineral Water - Blood O,9.0,1.994129304184894,5.0,14.0,5.0,14.0
Hersheys Milk Chocolate,,,,,,
Keto Krisp - Almond/Chocolate,,,,,,
Chum Fruit Bites - Mango/Strawberry,0.0,1.3893792597458061,4.0,4.0,4.0,4.0
Bai Antioxidant - Kupang strawberry kiwi,2.0,2.778709664879729,7.0,9.0,7.0,9.0
Hungry Buddha - Chocolate Chip,2.0,1.53311614141107,4.0,6.0,4.0,6.0
Popchips Potato - Sour Cream & Onion,,,,,,
Ritz Bits Peanut Butter,,,,,,
Bai Antioxidant - Molokai Coconut,,,,,,
Lays Baked - Original,,,,,,
Vitamin Water - Ice Cool Blue Lavender,,,,,,
Monster Energy  Zero Ultra,3.0,1.1677484162414706,3.0,6.0,3.0,6.0
Bai Lemonade - Burundi Blueberry,,,,,,
Nature's Garden Trail Mix - Cranberry Healthy,1.0,1.3338295267271651,4.0,5.0,4.0,5.0
NuGo Dark Chocolate - Choc Chip,,,,,,
Stretch Island Fruit Leathers Snacks - Variet,,,,,,
Orchard Bar - Variety,,,,,,
Keep Healthy - Chocolate Fudge,,,,,,
Zevia Zero Calorie Energy - Mango Ginger,1.0,1.0265409525317137,3.0,4.0,3.0,4.0
Hungry Buddha - Coconut Cocoa,,,,,,
Belvita Breakfast Biscuit Bites - Blueberry,4.0,1.0690449676509326,3.0,7.0,3.0,7.0
NuGo Dark Chocolate - Pretzel Sea Salt,,,,,,
Keto Bar - Chocolate Dream,,,,,,
Bai Antioxidant - Brasilia BB,1.0,0.8502441592312044,2.0,3.0,2.0,3.0
